iter	Logloss
0	0.6842418798
1	0.6750349874
2	0.6671706416
3	0.6571308689
4	0.6431998214
5	0.6346913164
6	0.6237989801
7	0.6148488779
8	0.6044886706
9	0.5981583152
10	0.588239762
11	0.5784082235
12	0.569309731
13	0.5586950593
14	0.548047828
15	0.5381706833
16	0.5274547591
17	0.5178941918
18	0.508393979
19	0.4994901069
20	0.4920625935
21	0.4879299008
22	0.4839032822
23	0.4769457282
24	0.4689528455
25	0.461566684
26	0.4536255904
27	0.4462494691
28	0.4392665594
29	0.4326494635
30	0.4274477764
31	0.422282109
32	0.41716911
33	0.4123054136
34	0.4075022417
35	0.4018586737
36	0.3962790904
37	0.3912532197
38	0.3864338815
39	0.3821144529
40	0.3775098723
41	0.3729206071
42	0.3679294232
43	0.3638754352
44	0.3595319556
45	0.3557427559
46	0.3525106154
47	0.3494982524
48	0.3457928909
49	0.3425785051
50	0.3386072208
51	0.3359032386
52	0.3326041353
53	0.3292624888
54	0.3261445907
55	0.322620718
56	0.3200154358
57	0.316650731
58	0.3134277798
59	0.3107628805
60	0.308042193
61	0.3055518905
62	0.3037100016
63	0.3009692337
64	0.2985630532
65	0.2962376478
66	0.2938554048
67	0.2912051119
68	0.2891954046
69	0.2869696635
70	0.285315815
71	0.2839763882
72	0.2819032917
73	0.2797713723
74	0.2781463113
75	0.2764388301
76	0.2744338025
77	0.2725314456
78	0.2711858076
79	0.2701814219
80	0.2684130474
81	0.2672771468
82	0.2656923315
83	0.2639638057
84	0.2631664063
85	0.2613914518
86	0.2597550743
87	0.2586013057
88	0.257147126
89	0.255733958
90	0.2538711945
91	0.2524534885
92	0.2507491271
93	0.2487706748
94	0.24708265
95	0.2453356888
96	0.2435467234
97	0.2420763774
98	0.2408004534
99	0.2395015277
100	0.2386830553
101	0.2371135697
102	0.2357110233
103	0.2345439528
104	0.233337218
105	0.2322022676
106	0.2311068397
107	0.2298361909
108	0.2289924622
109	0.2276507807
110	0.2266786568
111	0.2253943234
112	0.2246451537
113	0.2237936396
114	0.2231407449
115	0.2219527858
116	0.221012938
117	0.2202899323
118	0.21956938
119	0.2189177616
120	0.2179080155
121	0.2170753621
122	0.216120142
123	0.2153608755
124	0.214727735
125	0.2141770005
126	0.2134554696
127	0.2127078882
128	0.2115977404
129	0.2108759543
130	0.2096946177
131	0.2092707326
132	0.2086061102
133	0.2079186989
134	0.2071225191
135	0.20665117
136	0.2060404356
137	0.2052241045
138	0.2042344529
139	0.2032210339
140	0.2026307627
141	0.2018927819
142	0.2015398727
143	0.2008054655
144	0.1998956531
145	0.1994339613
146	0.1988473204
147	0.1982618424
148	0.1973889432
149	0.19689706
150	0.1961481598
151	0.1956091955
152	0.1949917676
153	0.1943237418
154	0.1939975214
155	0.1933105213
156	0.1926805858
157	0.1923004491
158	0.1919291188
159	0.1914166731
160	0.1906950997
161	0.1899769865
162	0.189392572
163	0.1883742747
164	0.1876936845
165	0.1873772632
166	0.1869777977
167	0.186839561
168	0.1865371931
169	0.1857977091
170	0.1853455611
171	0.1848872302
172	0.1846771098
173	0.1840744019
174	0.1835285882
175	0.1834160191
176	0.1829112879
177	0.1825398158
178	0.1822129147
179	0.1816780629
180	0.1812429322
181	0.1808895834
182	0.1805076741
183	0.1802222667
184	0.1798790148
185	0.1793949312
186	0.1791470326
187	0.1785987514
188	0.1783040412
189	0.1778143844
190	0.1771513645
191	0.1764066335
192	0.1760430602
193	0.1754910068
194	0.1750953703
195	0.1748021633
196	0.1743244185
197	0.174002183
198	0.1732160434
199	0.1725725082
200	0.1720293889
201	0.171714414
202	0.1711125427
203	0.1707627818
204	0.1702879158
205	0.1698874151
206	0.1696415727
207	0.1692548135
208	0.1688293684
209	0.16846727
210	0.1680768378
211	0.1676752736
212	0.1672084766
213	0.166759023
214	0.1664609235
215	0.1662177189
216	0.165647372
217	0.1653225129
218	0.1648991383
219	0.164640221
220	0.1638907252
221	0.163614663
222	0.1631239285
223	0.1627664389
224	0.1624255694
225	0.1621634898
226	0.1618535776
227	0.1614342445
228	0.1610798889
229	0.1607579795
230	0.1602691026
231	0.1598912491
232	0.1593632751
233	0.158977154
234	0.1584277951
235	0.1581963181
236	0.1578095872
237	0.1573944375
238	0.1569413678
239	0.156390846
240	0.1559423709
241	0.1555944677
242	0.1553334516
243	0.1548858416
244	0.1546449059
245	0.1541824483
246	0.1538441598
247	0.1534335906
248	0.1531359875
249	0.1528924141
250	0.1526100698
251	0.1522572457
252	0.1519142491
253	0.1517261661
254	0.1514504869
255	0.1513283882
256	0.1511048668
257	0.1509328793
258	0.1506164154
259	0.1501322324
260	0.1498083661
261	0.1496113632
262	0.1493119307
263	0.148982165
264	0.1488088303
265	0.1485195231
266	0.1482355905
267	0.1478681883
268	0.1476526509
269	0.1473692713
270	0.1471725237
271	0.1468910302
272	0.1467017986
273	0.1465203948
274	0.146348152
275	0.1459860678
276	0.1457035391
277	0.1453062859
278	0.1449593328
279	0.1444816873
280	0.1442273221
281	0.1439488634
282	0.1435916149
283	0.143222426
284	0.1430051017
285	0.1428334545
286	0.1426020909
287	0.142190756
288	0.1419700424
289	0.1416788208
290	0.1412240209
291	0.1409609344
292	0.1407768505
293	0.1405573423
294	0.140234738
295	0.1400192431
296	0.1397017298
297	0.1394760813
298	0.1392741434
299	0.1390117659
300	0.1388368146
301	0.1386604451
302	0.1384559972
303	0.1381933219
304	0.138065409
305	0.1378902733
306	0.1374696356
307	0.1372390378
308	0.1369844316
309	0.1366509363
310	0.1364602298
311	0.1360160657
312	0.1356109562
313	0.1353450336
314	0.1349887068
315	0.134816776
316	0.1345629497
317	0.1343959397
318	0.1340686557
319	0.1338252099
320	0.1336181527
321	0.1333510388
322	0.1331777466
323	0.132998385
324	0.1328377139
325	0.1325365939
326	0.1322942401
327	0.1319327656
328	0.1317754696
329	0.1316248954
330	0.131590237
331	0.1312644703
332	0.1310909371
333	0.1309774179
334	0.1306673922
335	0.1304996164
336	0.1303656057
337	0.1300550837
338	0.1297805673
339	0.129429133
340	0.1292015274
341	0.1290100551
342	0.1287457916
343	0.128537841
344	0.128307456
345	0.1281042418
346	0.1278160833
347	0.1277265301
348	0.127539383
349	0.1273181731
350	0.1271919761
351	0.1270040207
352	0.1268417614
353	0.1267304686
354	0.1265708611
355	0.1264930924
356	0.126169538
357	0.1259190584
358	0.1257208502
359	0.1255739063
360	0.1252797067
361	0.125120241
362	0.1249149847
363	0.1247009788
364	0.124507819
365	0.1243492325
366	0.1241247468
367	0.1238905471
368	0.1237634708
369	0.1235562718
370	0.1232831452
371	0.123073507
372	0.122935795
373	0.1228847575
374	0.1226351146
375	0.1223774594
376	0.1219981878
377	0.121719332
378	0.1214795875
379	0.1213132724
380	0.1211586282
381	0.1210009493
382	0.1208207652
383	0.1206562936
384	0.1204325311
385	0.1201934814
386	0.1198644106
387	0.1195812013
388	0.1193127685
389	0.1191592022
390	0.1190358555
391	0.1188808427
392	0.1187187252
393	0.1184479809
394	0.1183109851
395	0.1181949204
396	0.1180360007
397	0.1177445309
398	0.1176444979
399	0.1174985042
400	0.1173224963
401	0.1171834584
402	0.1170597289
403	0.1167719958
404	0.1165481199
405	0.1163157353
406	0.1161464067
407	0.1159379668
408	0.1157377732
409	0.1154843582
410	0.1152908935
411	0.1151790973
412	0.1150489297
413	0.1149018298
414	0.1146943472
415	0.1145546073
416	0.1143771601
417	0.1141571555
418	0.1141060897
419	0.1139293018
420	0.113744289
421	0.1135594109
422	0.1133868561
423	0.1132466199
424	0.113075228
425	0.1129472725
426	0.1127733564
427	0.1126945666
428	0.1125267341
429	0.1122736807
430	0.1121467534
431	0.1118909134
432	0.1117049433
433	0.1115287795
434	0.1113564871
435	0.1112474633
436	0.1110441499
437	0.1109289999
438	0.1107354217
439	0.1105892224
440	0.1104262824
441	0.1103319501
442	0.1101872469
443	0.1100582421
444	0.1099794381
445	0.1098061175
446	0.1096070938
447	0.1092732795
448	0.1091582713
449	0.1090139793
450	0.1088661775
451	0.1086386996
452	0.1084525736
453	0.1083218174
454	0.1081784188
455	0.1080694659
456	0.1079745807
457	0.1077875612
458	0.1076784524
459	0.1075269848
460	0.1073100505
461	0.1071796488
462	0.1070152552
463	0.10686734
464	0.1067770848
465	0.1066466831
466	0.1065372056
467	0.1064419516
468	0.1061101793
469	0.1060132874
470	0.1058944149
471	0.1057192437
472	0.1055431508
473	0.1053517707
474	0.1052082728
475	0.105109034
476	0.1049687552
477	0.1048254984
478	0.1046702303
479	0.104504915
480	0.1043227171
481	0.1041272812
482	0.1039640859
483	0.1038711789
484	0.1036829612
485	0.1035038406
486	0.1033633916
487	0.1032495321
488	0.1030451693
489	0.1029345927
490	0.1026906719
491	0.102540041
492	0.1023308991
493	0.1021414477
494	0.1019469903
